order_id,customer_id,order_date,region,gross_amount,tax_rate,discount_code,order_status
ORD-1040,5382,2025-01-06T00:00:00,EMEA,108.3,0.08,WELCOME,returned
ORD-1041,5464,2025-01-31,North America,132.02,0.08,,cancelled
ORD-1042,5131,2025-10-14,LATAM,390.61,0.08,,returned
ORD-1043,5087,2025-09-22,LATAM,417.78,0.08,,cancelled
ORD-1044,5387,2025-02-07,LATAM,142.54,0.08,,completed
ORD-1045,5438,2025-05-27,North America,358.44,0.08,WELCOME,pending
ORD-1046,5482,2025-09-30,,161.39,0.08,,completed
ORD-1047,5435,2025-07-18,APAC,359.85,0.08,SAVE10,returned
ORD-1048,5218,2025-06-04,EMEA,270.55,0.08,SAVE10,cancelled
ORD-1049,5417,2025-03-26,LATAM,170.54,0.08,,pending
ORD-1050,5363,2025-01-07T00:00:00,EMEA,424.58,0.08,WELCOME,returned
ORD-1051,5256,2025-12-20,LATAM,142.06,0.08,,returned
ORD-1052,5286,2025-12-05,EMEA,374.56,0.08,SAVE10,cancelled
ORD-1053,5432,2025-07-01,LATAM,289.11,0.08,,completed
ORD-1054,5145,2025-03-16,North America,76.56,0.08,,cancelled
ORD-1055,5411,2025-03-10,North America,240.4,0.08,WELCOME,returned
ORD-1056,5278,2025-09-03,,62.95,0.08,WELCOME,completed
ORD-1057,5282,2025-09-01,North America,110.83,0.08,WELCOME,returned
ORD-1058,5332,2025-02-19,,421.09,0.08,SAVE10,completed
ORD-1059,5368,2025-05-01,,38.35,0.08,,returned
ORD-1060,5136,2025-04-10T00:00:00,EMEA,446.89,0.08,WELCOME,returned
ORD-1061,5220,2025-06-27,,306.58,0.08,SAVE10,returned
ORD-1062,5129,2025-12-23,North America,258.52,0.08,,cancelled
ORD-1063,5179,2025-05-21,EMEA,237.68,0.08,,returned
ORD-1064,5283,2025-04-21,,164.42,0.08,SAVE10,returned
ORD-1065,5193,2025-01-22,,274.34,0.08,SAVE10,pending
ORD-1066,5288,2025-10-11,,303.8,0.08,,completed
ORD-1067,5387,2025-08-27,EMEA,409.05,0.08,SAVE10,pending
ORD-1068,5402,2025-07-03,EMEA,421.39,0.08,,returned
ORD-1069,5054,2025-02-23,,493.38,0.08,,cancelled
ORD-1070,5223,2025-08-22T00:00:00,North America,189.13,0.08,,returned
ORD-1071,5252,2025-01-17,,98.57,0.08,,completed
ORD-1072,5343,2025-08-10,LATAM,236.15,0.08,SAVE10,cancelled
ORD-1073,5034,2025-03-29,LATAM,467.07,0.08,WELCOME,pending
ORD-1074,5422,2025-09-15,EMEA,250.4,0.08,SAVE10,cancelled
ORD-1075,5477,2025-12-14,APAC,78.71,0.08,SAVE10,pending
ORD-1076,5094,2025-02-13,,124.09,0.08,WELCOME,completed
ORD-1077,5082,2025-09-28,EMEA,414.64,0.08,WELCOME,completed
ORD-1078,5153,2025-12-29,,233.32,0.08,,completed
ORD-1079,5115,2025-07-10,North America,89.76,0.08,,completed
ORD-1080,5115,2025-09-08T00:00:00,North America,64.38,0.08,,returned
ORD-1081,5275,2025-08-20,LATAM,89.29,0.08,,returned
ORD-1082,5245,2025-03-28,LATAM,409.5,0.08,WELCOME,returned
ORD-1083,5338,2025-01-23,North America,142.35,0.08,,completed
ORD-1084,5246,2025-04-02,EMEA,203.13,0.08,,pending
ORD-1085,5333,2025-01-15,EMEA,425.22,0.08,,cancelled
ORD-1086,5345,2025-06-05,,277.55,0.08,,returned
ORD-1087,5201,2025-12-12,LATAM,36.35,0.08,SAVE10,cancelled
ORD-1088,5221,2025-10-29,,489.58,0.08,SAVE10,completed
ORD-1089,5246,2025-12-27,APAC,324.93,0.08,,cancelled
ORD-1090,5291,2025-09-20T00:00:00,North America,211.31,0.08,,cancelled
ORD-1091,5201,2025-02-02,LATAM,470.95,0.08,,cancelled
ORD-1092,5196,2025-06-28,North America,269.52,0.08,,completed
ORD-1093,5462,2025-11-17,,56.44,0.08,WELCOME,cancelled
ORD-1094,5150,2025-01-30,LATAM,484.77,0.08,,returned
ORD-1095,5319,2025-04-24,,68.33,0.08,,pending
ORD-1096,5145,2025-05-25,LATAM,268.48,0.08,,returned
ORD-1097,5274,2025-05-21,LATAM,48.24,0.08,,pending
ORD-1098,5376,2025-06-14,,220.23,0.08,,completed
ORD-1099,5212,2025-07-12,APAC,498.45,0.08,WELCOME,completed
ORD-1100,5048,2025-01-31T00:00:00,EMEA,234.0,0.08,WELCOME,completed
ORD-1101,5231,2025-01-02,APAC,192.47,0.08,,cancelled
ORD-1102,5213,2025-12-30,LATAM,485.12,0.08,,returned
ORD-1103,5370,2025-04-27,North America,221.12,0.08,,completed
ORD-1104,5327,2025-08-15,EMEA,42.36,0.08,SAVE10,returned
ORD-1105,5326,2025-02-12,EMEA,180.84,0.08,SAVE10,cancelled
ORD-1106,5094,2025-02-28,North America,216.02,0.08,,completed
ORD-1107,5430,2025-10-28,,151.57,0.08,SAVE10,returned
ORD-1108,5077,2025-08-30,EMEA,438.62,0.08,,completed
ORD-1109,5293,2025-01-28,APAC,93.03,0.08,,completed
ORD-1110,5316,2025-12-19T00:00:00,LATAM,207.24,0.08,,cancelled
ORD-1111,5112,2025-02-18,North America,240.95,0.08,,returned
ORD-1112,5401,2025-08-02,,384.4,0.08,,completed
ORD-1113,5241,2025-12-04,North America,472.38,0.08,WELCOME,cancelled
ORD-1114,5345,2025-04-22,LATAM,476.9,0.08,WELCOME,returned
ORD-1115,5139,2025-09-04,EMEA,77.15,0.08,,cancelled
ORD-1116,5440,2025-09-12,EMEA,433.03,0.08,,completed
ORD-1117,5066,2025-02-18,APAC,137.62,0.08,,cancelled
ORD-1118,5286,2025-10-06,APAC,441.37,0.08,WELCOME,pending
ORD-1119,5078,2025-11-16,EMEA,472.76,0.08,SAVE10,returned
ORD-1120,5036,2025-04-30T00:00:00,,451.61,0.08,,pending
ORD-1121,5098,2025-02-21,EMEA,47.01,0.08,,completed
ORD-1122,5265,2025-04-14,,221.75,0.08,,pending
ORD-1123,5362,2025-06-18,LATAM,225.17,0.08,WELCOME,returned
ORD-1124,5061,2025-07-14,North America,322.87,0.08,,returned
ORD-1125,5428,2025-03-10,EMEA,27.6,0.08,,pending
ORD-1126,5071,2025-01-17,APAC,346.7,0.08,,pending
ORD-1127,5092,2025-02-26,LATAM,347.42,0.08,,completed
ORD-1128,5169,2025-11-10,APAC,86.78,0.08,,returned
ORD-1129,5152,2025-05-03,North America,298.32,0.08,,returned
ORD-1130,5262,2025-11-02T00:00:00,,478.18,0.08,,cancelled
ORD-1131,5364,2025-08-26,APAC,313.91,0.08,WELCOME,completed
ORD-1132,5202,2025-01-21,LATAM,453.26,0.08,,completed
ORD-1133,5348,2025-04-23,APAC,430.74,0.08,,pending
ORD-1134,5289,2025-01-09,APAC,393.87,0.08,,cancelled
ORD-1135,5432,2025-07-21,LATAM,391.07,0.08,SAVE10,pending
ORD-1136,5042,2025-08-08,APAC,156.26,0.08,,pending
ORD-1137,5157,2025-05-11,LATAM,102.69,0.08,,cancelled
ORD-1138,5225,2025-08-06,LATAM,169.58,0.08,,pending
ORD-1139,5115,2025-01-07,,241.49,0.08,,cancelled
ORD-1140,5454,2025-11-15T00:00:00,APAC,86.45,0.08,SAVE10,pending
ORD-1141,5425,2025-02-10,APAC,171.86,0.08,,returned
ORD-1142,5483,2025-11-08,,310.75,0.08,,completed
ORD-1143,5062,2025-08-29,,93.69,0.08,,cancelled
ORD-1144,5052,2025-07-16,,479.27,0.08,,cancelled
ORD-1145,5079,2025-07-29,North America,29.78,0.08,,cancelled
ORD-1146,5156,2025-10-14,LATAM,489.24,0.08,WELCOME,completed
ORD-1147,5026,2025-07-21,APAC,271.02,0.08,WELCOME,returned
ORD-1148,5371,2025-01-12,LATAM,488.39,0.08,SAVE10,pending
ORD-1149,5284,2025-07-22,EMEA,370.38,0.08,WELCOME,pending
ORD-1150,5345,2025-07-16T00:00:00,APAC,153.75,0.08,SAVE10,completed
ORD-1151,5434,2025-08-05,North America,253.61,0.08,,completed
ORD-1152,5032,2025-08-22,LATAM,128.51,0.08,SAVE10,completed
ORD-1153,5133,2025-10-22,North America,384.13,0.08,,completed
ORD-1154,5022,2025-02-20,LATAM,115.39,0.08,,returned
ORD-1155,5173,2025-11-28,North America,120.01,0.08,,returned
ORD-1156,5146,2025-06-09,EMEA,38.42,0.08,SAVE10,pending
ORD-1157,5034,2025-06-14,EMEA,130.49,0.08,WELCOME,returned
ORD-1158,5207,2025-12-20,EMEA,486.87,0.08,SAVE10,cancelled
ORD-1159,5031,2025-02-07,APAC,399.71,0.08,WELCOME,cancelled
ORD-1160,5108,2025-09-26T00:00:00,EMEA,260.36,0.08,SAVE10,completed
ORD-1161,5071,2025-02-12,North America,247.23,0.08,,returned
ORD-1162,5459,2025-10-30,EMEA,477.13,0.08,,returned
ORD-1163,5077,2025-06-15,EMEA,261.71,0.08,,cancelled
ORD-1164,5349,2025-10-08,LATAM,88.44,0.08,,cancelled
ORD-1165,5237,2025-11-07,APAC,300.75,0.08,WELCOME,completed
ORD-1166,5045,2025-07-30,EMEA,477.19,0.08,,pending
ORD-1167,5200,2025-02-18,APAC,366.66,0.08,,returned
ORD-1168,5308,2025-09-06,APAC,463.97,0.08,,completed
ORD-1169,5102,2025-03-03,APAC,376.31,0.08,,pending
ORD-1170,5243,2025-05-14T00:00:00,North America,468.29,0.08,WELCOME,cancelled
ORD-1171,5360,2025-06-15,APAC,70.47,0.08,WELCOME,completed
ORD-1172,5156,2025-01-07,LATAM,317.4,0.08,,completed
ORD-1173,5153,2025-04-14,North America,126.44,0.08,,pending
ORD-1174,5253,2025-08-09,,139.44,0.08,SAVE10,cancelled
ORD-1175,5073,2025-09-03,APAC,261.65,0.08,SAVE10,cancelled
ORD-1176,5237,2025-07-20,LATAM,492.14,0.08,,cancelled
ORD-1177,5308,2025-02-11,LATAM,499.76,0.08,,completed
ORD-1178,5241,2025-09-22,North America,71.04,0.08,WELCOME,pending
ORD-1179,5381,2025-03-07,LATAM,128.92,0.08,,pending
ORD-1180,5096,2025-07-09T00:00:00,,27.1,0.08,,cancelled
ORD-1181,5237,2025-07-12,,437.12,0.08,,cancelled
ORD-1182,5491,2025-08-10,LATAM,91.64,0.08,,returned
ORD-1183,5387,2025-04-27,North America,336.68,0.08,,returned
ORD-1184,5326,2025-03-27,EMEA,444.48,0.08,SAVE10,pending
ORD-1185,5462,2025-01-06,APAC,223.5,0.08,,cancelled
ORD-1186,5486,2025-03-08,,48.85,0.08,,cancelled
ORD-1187,5446,2025-09-20,APAC,447.67,0.08,,returned
ORD-1188,5188,2025-09-17,EMEA,97.86,0.08,,pending
ORD-1189,5211,2025-01-17,APAC,333.48,0.08,,returned
ORD-1190,5099,2025-05-13T00:00:00,APAC,234.97,0.08,,pending
ORD-1191,5281,2025-04-22,APAC,408.06,0.08,,cancelled
ORD-1192,5441,2025-09-01,LATAM,470.81,0.08,,returned
ORD-1193,5203,2025-07-31,EMEA,188.27,0.08,,completed
ORD-1194,5441,2025-06-04,APAC,426.54,0.08,SAVE10,cancelled
ORD-1195,5307,2025-06-20,,457.53,0.08,,completed
ORD-1196,5268,2025-01-26,APAC,482.23,0.08,,completed
ORD-1197,5289,2025-11-08,APAC,460.89,0.08,,returned
ORD-1198,5463,2025-10-02,EMEA,274.82,0.08,WELCOME,pending
ORD-1199,5412,2025-12-28,LATAM,481.94,0.08,,returned
ORD-1200,5300,2025-03-03T00:00:00,North America,133.22,0.08,,completed
ORD-1201,5028,2025-06-20,EMEA,271.75,0.08,,returned
ORD-1202,5052,2025-06-16,,235.93,0.08,,cancelled
ORD-1203,5439,2025-05-29,EMEA,402.13,0.08,,completed
ORD-1204,5059,2025-09-21,EMEA,410.89,0.08,SAVE10,cancelled
ORD-1205,5474,2025-02-25,North America,323.1,0.08,,completed
ORD-1206,5166,2025-06-14,EMEA,205.63,0.08,,pending
ORD-1207,5137,2025-01-15,LATAM,456.94,0.08,,cancelled
ORD-1208,5471,2025-04-09,North America,328.05,0.08,,pending
ORD-1209,5239,2025-07-09,North America,405.43,0.08,,pending
ORD-1210,5368,2025-08-15T00:00:00,EMEA,56.11,0.08,WELCOME,cancelled
ORD-1211,5214,2025-08-05,APAC,23.59,0.08,,returned
ORD-1212,5383,2025-03-08,,275.02,0.08,,completed
ORD-1213,5438,2025-07-16,APAC,188.94,0.08,WELCOME,completed
ORD-1214,5397,2025-05-16,EMEA,117.11,0.08,,cancelled
ORD-1215,5414,2025-06-26,,220.52,0.08,,pending
ORD-1216,5047,2025-10-01,LATAM,428.51,0.08,,completed
ORD-1217,5376,2025-07-31,North America,394.51,0.08,SAVE10,completed
ORD-1218,5044,2025-06-22,,392.32,0.08,SAVE10,pending
ORD-1219,5169,2025-07-16,EMEA,306.67,0.08,,cancelled
ORD-1220,5163,2025-05-19T00:00:00,LATAM,96.58,0.08,,completed
ORD-1221,5419,2025-08-23,APAC,388.71,0.08,SAVE10,pending
ORD-1222,5103,2025-04-14,EMEA,311.44,0.08,,completed
ORD-1223,5061,2025-02-12,North America,475.84,0.08,,completed
ORD-1224,5030,2025-11-11,,258.1,0.08,SAVE10,returned
ORD-1225,5078,2025-06-21,LATAM,350.63,0.08,SAVE10,cancelled
ORD-1226,5469,2025-04-02,APAC,420.86,0.08,SAVE10,pending
ORD-1227,5213,2025-11-10,APAC,27.04,0.08,WELCOME,pending
ORD-1228,5108,2025-04-27,LATAM,468.64,0.08,WELCOME,returned
ORD-1229,5042,2025-09-13,LATAM,289.36,0.08,SAVE10,pending
ORD-1230,5494,2025-04-26T00:00:00,LATAM,55.85,0.08,SAVE10,completed
ORD-1231,5139,2025-12-13,,354.32,0.08,,returned
ORD-1232,5005,2025-06-12,LATAM,39.08,0.08,,cancelled
ORD-1233,5187,2025-04-01,,51.66,0.08,,pending
ORD-1234,5068,2025-07-07,EMEA,483.93,0.08,,cancelled
ORD-1235,5068,2025-05-13,APAC,156.8,0.08,SAVE10,completed
ORD-1236,5148,2025-11-28,EMEA,278.19,0.08,WELCOME,completed
ORD-1237,5184,2025-07-31,,447.88,0.08,,completed
ORD-1238,5426,2025-06-02,LATAM,446.1,0.08,SAVE10,returned
ORD-1239,5089,2025-03-20,APAC,90.48,0.08,,returned
ORD-1240,5314,2025-05-04T00:00:00,,186.56,0.08,SAVE10,returned
ORD-1241,5160,2025-08-19,North America,79.29,0.08,SAVE10,completed
ORD-1242,5498,2025-05-02,North America,436.94,0.08,,cancelled
ORD-1243,5269,2025-11-15,North America,432.34,0.08,,cancelled
ORD-1244,5029,2025-09-15,EMEA,431.06,0.08,,returned
ORD-1245,5290,2025-03-29,North America,98.47,0.08,,pending
ORD-1246,5183,2025-06-28,,46.93,0.08,SAVE10,pending
ORD-1247,5413,2025-10-18,EMEA,362.55,0.08,,completed
ORD-1248,5240,2025-05-13,EMEA,244.3,0.08,,completed
ORD-1249,5286,2025-07-24,EMEA,22.59,0.08,,pending
ORD-1250,5418,2025-01-22T00:00:00,North America,282.37,0.08,SAVE10,pending
ORD-1251,5121,2025-03-25,LATAM,148.74,0.08,,returned
ORD-1252,5415,2025-03-24,LATAM,81.3,0.08,SAVE10,cancelled
ORD-1253,5128,2025-06-04,APAC,255.6,0.08,WELCOME,completed
ORD-1254,5441,2025-02-09,EMEA,328.02,0.08,,returned
ORD-1255,5248,2025-07-02,EMEA,287.32,0.08,SAVE10,returned
ORD-1256,5421,2025-04-19,EMEA,410.78,0.08,,returned
ORD-1257,5264,2025-06-24,EMEA,335.6,0.08,,completed
ORD-1258,5453,2025-07-05,North America,415.76,0.08,WELCOME,cancelled
ORD-1259,5086,2025-09-30,LATAM,110.38,0.08,,cancelled
ORD-1260,5326,2026-01-01T00:00:00,EMEA,71.89,0.08,,completed
ORD-1261,5421,2025-01-26,APAC,88.13,0.08,,completed
ORD-1262,5151,2025-12-08,APAC,217.56,0.08,,cancelled
ORD-1263,5210,2025-09-03,APAC,95.83,0.08,,returned
ORD-1264,5367,2025-06-04,North America,330.81,0.08,,cancelled
ORD-1265,5023,2025-02-17,,470.1,0.08,,completed
ORD-1266,5055,2025-07-11,North America,119.63,0.08,WELCOME,returned
ORD-1267,5405,2025-09-15,LATAM,310.09,0.08,,completed
ORD-1268,5009,2025-08-19,,277.75,0.08,SAVE10,cancelled
ORD-1269,5301,2025-09-09,,195.55,0.08,,pending
ORD-1270,5066,2025-12-15T00:00:00,,26.65,0.08,,cancelled
ORD-1271,5200,2025-05-18,,69.94,0.08,SAVE10,completed
ORD-1272,5402,2025-03-05,,159.06,0.08,,pending
ORD-1273,5419,2025-06-01,APAC,400.97,0.08,SAVE10,cancelled
ORD-1274,5156,2025-07-08,APAC,362.51,0.08,,cancelled
ORD-1275,5420,2025-10-18,EMEA,485.57,0.08,WELCOME,returned
ORD-1276,5150,2025-03-30,North America,333.52,0.08,,pending
ORD-1277,5037,2025-07-18,,267.84,0.08,WELCOME,cancelled
ORD-1278,5290,2025-01-17,North America,425.73,0.08,,pending
ORD-1279,5092,2025-05-19,APAC,453.0,0.08,,cancelled
ORD-1280,5270,2025-05-31T00:00:00,North America,272.68,0.08,,completed
ORD-1281,5287,2025-04-14,LATAM,479.1,0.08,SAVE10,cancelled
ORD-1282,5082,2025-02-20,North America,408.38,0.08,,pending
ORD-1283,5136,2025-04-21,LATAM,477.32,0.08,,returned
ORD-1284,5350,2025-08-20,APAC,82.45,0.08,,returned
ORD-1285,5188,2025-11-24,North America,353.87,0.08,SAVE10,completed
ORD-1286,5364,2025-07-03,APAC,23.13,0.08,,completed
ORD-1287,5113,2025-10-19,,85.45,0.08,,pending
ORD-1288,5242,2025-02-25,APAC,245.91,0.08,SAVE10,returned
ORD-1289,5223,2025-03-06,,284.88,0.08,,pending
ORD-1290,5440,2025-05-03T00:00:00,EMEA,377.48,0.08,,cancelled
ORD-1291,5109,2025-11-12,North America,187.03,0.08,SAVE10,completed
ORD-1292,5244,2025-12-30,North America,483.26,0.08,,cancelled
ORD-1293,5049,2025-11-23,,46.04,0.08,,completed
ORD-1294,5233,2025-11-05,EMEA,175.96,0.08,SAVE10,pending
ORD-1295,5307,2025-12-31,,483.91,0.08,,cancelled
ORD-1296,5426,2025-12-16,APAC,119.09,0.08,,cancelled
ORD-1297,5173,2025-03-30,North America,472.24,0.08,WELCOME,returned
ORD-1298,5032,2025-08-06,,58.6,0.08,SAVE10,completed
ORD-1299,5421,2025-05-30,North America,79.89,0.08,,pending
ORD-1300,5394,2025-02-14T00:00:00,North America,207.77,0.08,,cancelled
ORD-1301,5316,2025-10-23,North America,323.94,0.08,WELCOME,cancelled
ORD-1302,5352,2025-07-19,APAC,165.33,0.08,,returned
ORD-1303,5320,2025-10-10,,368.13,0.08,SAVE10,returned
ORD-1304,5367,2025-01-10,EMEA,282.67,0.08,,completed
ORD-1305,5445,2025-11-20,,168.82,0.08,,completed
ORD-1306,5005,2025-02-07,APAC,299.58,0.08,,completed
ORD-1307,5393,2025-05-26,EMEA,74.36,0.08,SAVE10,completed
ORD-1308,5087,2025-03-09,North America,498.13,0.08,SAVE10,completed
ORD-1309,5158,2025-03-03,North America,499.26,0.08,WELCOME,returned
ORD-1310,5074,2025-08-19T00:00:00,LATAM,481.61,0.08,WELCOME,pending
ORD-1311,5343,2025-07-19,,158.28,0.08,,pending
ORD-1312,5482,2025-02-23,EMEA,407.29,0.08,,returned
ORD-1313,5282,2025-12-12,LATAM,392.96,0.08,WELCOME,completed
ORD-1314,5133,2025-04-15,North America,213.32,0.08,WELCOME,pending
ORD-1315,5044,2025-11-15,North America,31.39,0.08,WELCOME,cancelled
ORD-1316,5400,2025-09-08,LATAM,172.67,0.08,,cancelled
ORD-1317,5244,2025-09-01,North America,330.6,0.08,SAVE10,returned
ORD-1318,5226,2025-09-18,,451.06,0.08,,pending
ORD-1319,5075,2025-10-21,,276.24,0.08,SAVE10,cancelled
ORD-1320,5193,2025-06-25T00:00:00,,498.73,0.08,,pending
ORD-1321,5000,2025-02-18,EMEA,105.35,0.08,,cancelled
ORD-1322,5433,2025-09-15,APAC,490.19,0.08,SAVE10,completed
ORD-1323,5253,2025-05-18,,53.74,0.08,SAVE10,pending
ORD-1324,5386,2025-10-06,EMEA,397.53,0.08,,completed
ORD-1325,5225,2025-03-10,LATAM,137.76,0.08,,returned
ORD-1326,5171,2025-07-28,North America,63.94,0.08,,returned
ORD-1327,5323,2025-01-29,,104.21,0.08,,completed
ORD-1328,5171,2025-10-31,LATAM,227.88,0.08,SAVE10,pending
ORD-1329,5273,2025-05-25,APAC,218.16,0.08,SAVE10,cancelled
ORD-1330,5291,2025-06-11T00:00:00,APAC,419.61,0.08,,completed
ORD-1331,5172,2025-12-21,,117.67,0.08,,cancelled
ORD-1332,5267,2025-05-22,EMEA,284.13,0.08,WELCOME,cancelled
ORD-1333,5335,2025-01-26,North America,175.19,0.08,,completed
ORD-1334,5312,2025-10-06,APAC,217.22,0.08,,cancelled
ORD-1335,5387,2025-02-11,LATAM,52.95,0.08,SAVE10,returned
ORD-1336,5118,2025-06-11,LATAM,310.58,0.08,SAVE10,completed
ORD-1337,5223,2025-03-29,,214.34,0.08,WELCOME,returned
ORD-1338,5112,2025-05-26,APAC,348.66,0.08,SAVE10,pending
ORD-1339,5040,2025-06-15,North America,415.78,0.08,WELCOME,cancelled
ORD-1340,5109,2025-08-05T00:00:00,North America,479.9,0.08,,cancelled
ORD-1341,5134,2025-10-10,,419.24,0.08,,cancelled
ORD-1342,5373,2025-02-23,,339.18,0.08,SAVE10,cancelled
ORD-1343,5186,2025-07-21,North America,331.13,0.08,WELCOME,pending
ORD-1344,5291,2025-11-22,APAC,492.82,0.08,,returned
ORD-1345,5137,2025-12-08,APAC,313.55,0.08,,cancelled
ORD-1346,5024,2025-05-29,,74.86,0.08,WELCOME,cancelled
ORD-1347,5303,2025-09-20,LATAM,430.78,0.08,,cancelled
ORD-1348,5318,2025-03-15,,113.41,0.08,WELCOME,completed
ORD-1349,5423,2025-08-03,,95.98,0.08,SAVE10,pending
ORD-1350,5022,2025-06-06T00:00:00,LATAM,137.05,0.08,,cancelled
ORD-1351,5005,2025-02-19,North America,487.09,0.08,WELCOME,pending
ORD-1352,5455,2025-05-01,EMEA,341.51,0.08,SAVE10,pending
ORD-1353,5260,2025-02-20,North America,57.78,0.08,SAVE10,returned
ORD-1354,5151,2025-04-11,APAC,443.98,0.08,WELCOME,pending
ORD-1355,5149,2025-08-11,North America,331.71,0.08,SAVE10,pending
ORD-1356,5253,2025-01-25,LATAM,22.81,0.08,WELCOME,cancelled
ORD-1357,5084,2025-10-16,North America,166.64,0.08,,pending
ORD-1358,5310,2025-05-09,LATAM,263.1,0.08,SAVE10,pending
ORD-1359,5081,2025-01-28,EMEA,197.71,0.08,SAVE10,cancelled
ORD-1360,5088,2025-06-12T00:00:00,LATAM,243.43,0.08,,pending
ORD-1361,5220,2025-12-17,EMEA,368.88,0.08,,returned
ORD-1362,5169,2025-05-10,,234.39,0.08,SAVE10,pending
ORD-1363,5010,2025-11-24,North America,498.41,0.08,,completed
ORD-1364,5335,2025-03-11,APAC,289.28,0.08,SAVE10,pending
ORD-1365,5236,2025-08-13,,119.3,0.08,,cancelled
ORD-1366,5324,2025-04-24,EMEA,385.25,0.08,,completed
ORD-1367,5151,2025-01-14,North America,59.88,0.08,,completed
ORD-1368,5447,2025-06-10,APAC,84.83,0.08,,cancelled
ORD-1369,5088,2025-05-21,,486.91,0.08,,returned
ORD-1370,5438,2025-10-26T00:00:00,EMEA,21.73,0.08,WELCOME,cancelled
ORD-1371,5400,2025-06-25,,215.51,0.08,WELCOME,returned
ORD-1372,5414,2025-05-15,,81.71,0.08,WELCOME,returned
ORD-1373,5420,2025-11-08,EMEA,87.41,0.08,,pending
ORD-1374,5397,2025-10-23,,367.65,0.08,,completed
ORD-1375,5108,2025-10-12,,110.22,0.08,WELCOME,cancelled
ORD-1376,5211,2025-02-08,APAC,142.19,0.08,,cancelled
ORD-1377,5304,2025-04-07,EMEA,431.0,0.08,,pending
ORD-1378,5334,2025-05-22,North America,29.7,0.08,,returned
ORD-1379,5157,2025-09-13,,295.23,0.08,,completed
ORD-1380,5067,2025-11-01T00:00:00,North America,61.65,0.08,WELCOME,returned
ORD-1381,5125,2025-08-15,LATAM,53.47,0.08,SAVE10,completed
ORD-1382,5473,2025-07-21,,161.07,0.08,,cancelled
ORD-1383,5472,2025-08-31,APAC,25.87,0.08,WELCOME,cancelled
ORD-1384,5424,2025-11-05,EMEA,465.12,0.08,,completed
ORD-1385,5101,2025-12-30,EMEA,276.91,0.08,WELCOME,pending
ORD-1386,5100,2025-08-14,,229.97,0.08,,pending
ORD-1387,5075,2025-03-03,,74.0,0.08,,cancelled
ORD-1388,5025,2025-10-15,LATAM,24.1,0.08,,pending
ORD-1389,5230,2025-07-22,,485.56,0.08,WELCOME,cancelled
ORD-1390,5464,2025-06-27T00:00:00,EMEA,490.19,0.08,WELCOME,returned
